0	67.5153	58.8235
0.05	64.5741	58.8235
0.1	61.6329	58.8235
0.15	58.6917	58.8235
0.2	55.7506	58.8235
0.25	52.8094	58.8235
0.3	49.8682	58.8235
0.35	46.927	58.8235
0.4	43.9859	58.8235
0.45	41.0447	58.8235
0.5	38.1035	58.8235
0.55	35.1623	58.8235
0.6	32.2212	58.8235
0.65	29.28	58.8235
0.7	26.3388	58.8235
0.75	23.3976	58.2854
0.8	20.5103	77.406
0.85	15.657	151.834
0.9	5.32685	142.76
0.95	1.38101	55.1671
1	-0.189859	22.7297
1.05	-0.891962	7.9435
1.1	-0.984209	1.0607
1.15	-0.998032	-1.1074
1.2	-0.87347	-2.24254
1.25	-0.773778	-2.48213
1.3	-0.625257	-2.52232
1.35	-0.521547	-1.55094
1.4	-0.470163	-1.66541
1.45	-0.355006	-1.43454
1.5	-0.326708	-0.967036
1.55	-0.258302	-1.08793
1.6	-0.217916	-0.932398
1.65	-0.165062	-0.687279
1.7	-0.149188	-0.454642
1.75	-0.119598	-0.45448
1.8	-0.10374	-0.186614
1.85	-0.100937	-0.523842
1.9	-0.0513555	-0.117914
1.95	-0.0891455	-0.216134
2	-0.0297421	-0.0642066
2.05	-0.0827248	-0.0474484
2.1	-0.0249972	-0.512595
2.15	-0.0314654	0.284734
2.2	-0.0534706	-0.0592737
2.25	-0.025538	-0.247287
2.3	-0.0287419	0.0174668
2.35	-0.0272847	-0.0776929
2.4	-0.0209726	0.0232018
2.45	-0.0296048	-0.0592101
2.5	-0.0150516	-0.152168
2.55	-0.014388	0.093308
2.6	-0.0243824	-0.0729158
2.65	-0.00709643	-0.0715335
2.7	-0.017229	-0.0111376
2.75	-0.00598267	-0.103234
2.8	-0.00690564	0.00399976
2.85	-0.00638265	0.0128384
2.9	-0.00818948	0.0945043
2.95	-0.0158331	-0.0818948
3	0	-0.316661
