0	0
0.05	0
0.1	0
0.15	0
0.2	0
0.25	0
0.3	0
0.35	0
0.4	0
0.45	0
0.5	0
0.55	0
0.6	0
0.65	0
0.7	0
0.75	0.000393604
0.8	0
0.85	0.0101905
0.9	0.186798
0.95	0.722032
1	1.27739
1.05	1.60104
1.1	1.62128
1.15	1.55493
1.2	1.45109
1.25	1.33763
1.3	1.26257
1.35	1.18006
1.4	1.12968
1.45	1.10483
1.5	1.06703
1.55	1.03478
1.6	1.01578
1.65	1.00552
1.7	0.981221
1.75	0.978062
1.8	0.977889
1.85	0.981456
1.9	0.993803
1.95	1.0099
2	1.00765
2.05	1.00493
2.1	1.00805
2.15	1.02053
2.2	1.03608
2.25	1.02527
2.3	1.01454
2.35	1.01416
2.4	1.0197
2.45	1.01733
2.5	1.0198
2.55	1.01671
2.6	1.0173
2.65	1.00161
2.7	1.00382
2.75	0.99389
2.8	1.00468
2.85	1.00761
2.9	1.00146
2.95	0.99966
3	0.990508
3.05	0.999176
3.1	1.00146
3.15	0.998035
3.2	0.993477
3.25	0.999137
3.3	1.00893
3.35	1.00203
3.4	1.00349
3.45	1.00185
3.5	1.0085
3.55	1.00735
3.6	1.00547
3.65	1.00192
3.7	1.00709
3.75	0.999542
3.8	0.995063
3.85	0.99708
3.9	1.00019
3.95	1.00101
4	1.00366
4.05	0.994564
4.1	0.998632
4.15	1.00108
4.2	0.9954
4.25	1.00451
4.3	1.00127
4.35	1.00082
4.4	1.00514
4.45	1.00615
4.5	1.0014
4.55	0.997707
4.6	1.0003
4.65	1.00165
4.7	0.999473
4.75	1.00336
4.8	1.00092
4.85	1.00301
4.9	0.999574
4.95	1.0002
5	0.999653
